customer_id,payment_method,success_rate,cashback_offered,transaction_fee,customer_preference
7271,UPI,0.95,5,0.95,6
861,Easy Monthly Installments (EMI),0.84,4,0.75,6
5391,UPI,0.91,2,1.44,5
5192,UPI,0.96,1,1.68,7
5735,UPI,0.91,5,0.51,10
6266,Easy Monthly Installments (EMI),0.98,3,1.9,10
467,Net Banking,0.81,9,1.39,5
4427,Easy Monthly Installments (EMI),0.92,2,0.52,8
5579,Net Banking,0.91,7,0.81,4
8323,Easy Monthly Installments (EMI),0.93,8,0.3,10
1686,Easy Monthly Installments (EMI),0.97,6,1.23,2
770,Debit Card,0.95,1,0.42,4
6950,Net Banking,0.96,7,1.42,3
2434,Debit Card,0.86,4,1.5,2
5312,Amazon Pay Later,0.88,9,1.01,0
5052,Debit Card,0.93,6,0.28,7
6421,UPI,0.91,4,1.26,3
1185,Amazon Pay Balance,0.99,1,0.81,2
4556,Amazon Pay Balance,0.84,3,1.9,3
3386,Credit Card,0.87,4,1.08,0
6397,Credit Card,0.91,5,0.24,5
8667,Pay on Delivery,0.97,4,1.31,2
9275,Debit Card,0.99,9,1.58,7
2559,Easy Monthly Installments (EMI),0.87,0,0.4,10
7850,Easy Monthly Installments (EMI),0.81,0,0.95,9
2048,Amazon Pay Balance,0.88,2,1.51,4
2748,UPI,0.88,8,0.14,8
9168,Net Banking,1.0,1,0.16,8
9999,UPI,0.89,9,1.39,10
190,Pay on Delivery,0.86,4,1.48,1
2735,UPI,0.87,8,1.71,4
3006,Debit Card,0.88,6,0.86,6
4659,Debit Card,0.96,7,0.84,6
1900,Amazon Pay Later,0.82,1,1.15,9
7735,Pay on Delivery,0.86,4,1.54,2
1268,UPI,0.99,8,1.32,6
1529,Easy Monthly Installments (EMI),0.83,0,0.72,6
3557,Easy Monthly Installments (EMI),0.95,0,0.76,3
3891,Pay on Delivery,0.87,9,1.55,10
8839,UPI,0.92,7,1.12,6
5394,Debit Card,0.82,1,0.29,7
8793,Debit Card,0.86,8,0.39,2
8434,Amazon Pay Later,0.9,9,1.72,1
7514,Amazon Pay Later,0.85,8,2.0,8
2613,Credit Card,0.91,3,0.74,6
7042,Pay on Delivery,0.84,1,0.83,0
9556,Amazon Pay Balance,0.93,2,0.39,9
6236,UPI,0.98,9,0.55,9
5487,Pay on Delivery,0.82,0,0.91,8
7100,Easy Monthly Installments (EMI),0.84,2,0.64,4
9671,UPI,0.97,4,1.43,1
776,Amazon Pay Later,0.93,2,1.12,6
8227,Amazon Pay Later,0.82,2,1.66,8
3153,Credit Card,0.9,9,1.48,2
1586,Amazon Pay Balance,0.84,5,0.34,3
3944,Credit Card,0.84,2,0.33,8
7556,Easy Monthly Installments (EMI),0.99,2,1.8,1
3074,Amazon Pay Balance,0.95,8,1.66,3
1022,Net Banking,0.94,1,0.99,4
3844,UPI,0.85,0,0.35,3
7990,Credit Card,0.82,9,1.81,6
9693,Amazon Pay Later,0.97,7,0.54,5
6874,Credit Card,0.8,2,0.17,8
5676,Net Banking,0.88,6,1.86,10
