customer_id,payment_method,success_rate,cashback_offered,transaction_fee,customer_preference
7271,7,0.95,5,0.95,6
861,4,0.84,4,0.75,6
5391,7,0.91,2,1.44,5
5192,7,0.96,1,1.68,7
5735,7,0.91,5,0.51,10
6266,4,0.98,3,1.9,10
467,5,0.81,9,1.39,5
4427,4,0.92,2,0.52,8
5579,5,0.91,7,0.81,4
8323,4,0.93,8,0.3,10
1686,4,0.97,6,1.23,2
770,3,0.95,1,0.42,4
6950,5,0.96,7,1.42,3
2434,3,0.86,4,1.5,2
5312,1,0.88,9,1.01,0
5052,3,0.93,6,0.28,7
6421,7,0.91,4,1.26,3
1185,0,0.99,1,0.81,2
4556,0,0.84,3,1.9,3
3386,2,0.87,4,1.08,0
6397,2,0.91,5,0.24,5
8667,6,0.97,4,1.31,2
9275,3,0.99,9,1.58,7
2559,4,0.87,0,0.4,10
7850,4,0.81,0,0.95,9
2048,0,0.88,2,1.51,4
2748,7,0.88,8,0.14,8
9168,5,1.0,1,0.16,8
9999,7,0.89,9,1.39,10
190,6,0.86,4,1.48,1
2735,7,0.87,8,1.71,4
3006,3,0.88,6,0.86,6
4659,3,0.96,7,0.84,6
1900,1,0.82,1,1.15,9
7735,6,0.86,4,1.54,2
1268,7,0.99,8,1.32,6
1529,4,0.83,0,0.72,6
3557,4,0.95,0,0.76,3
3891,6,0.87,9,1.55,10
8839,7,0.92,7,1.12,6
5394,3,0.82,1,0.29,7
8793,3,0.86,8,0.39,2
8434,1,0.9,9,1.72,1
7514,1,0.85,8,2.0,8
2613,2,0.91,3,0.74,6
7042,6,0.84,1,0.83,0
9556,0,0.93,2,0.39,9
6236,7,0.98,9,0.55,9
5487,6,0.82,0,0.91,8
7100,4,0.84,2,0.64,4
9671,7,0.97,4,1.43,1
776,1,0.93,2,1.12,6
8227,1,0.82,2,1.66,8
3153,2,0.9,9,1.48,2
1586,0,0.84,5,0.34,3
3944,2,0.84,2,0.33,8
7556,4,0.99,2,1.8,1
3074,0,0.95,8,1.66,3
1022,5,0.94,1,0.99,4
3844,7,0.85,0,0.35,3
7990,2,0.82,9,1.81,6
9693,1,0.97,7,0.54,5
6874,2,0.8,2,0.17,8
5676,5,0.88,6,1.86,10
162,2,0.86,1,1.64,3
4298,7,0.91,7,1.42,10
996,5,0.85,8,0.16,8
7630,6,0.86,7,1.1,0
9468,6,0.97,7,1.34,5
1017,6,0.92,7,1.54,6
7870,1,0.83,6,1.0,8
6440,1,0.95,1,1.91,0
7893,6,0.84,7,0.57,10
6864,6,0.89,4,0.23,0
7917,6,0.93,5,0.73,1
8530,3,0.85,3,1.36,5
879,6,0.88,0,1.5,2
9269,5,0.95,4,1.5,10
4888,3,0.99,2,0.31,5
4860,3,0.91,8,1.78,1
6332,7,0.8,3,0.63,9
8572,2,0.87,9,0.5,5
8685,1,0.88,1,1.27,6
7209,1,0.87,3,0.5,5
5277,2,0.89,2,1.07,1
2063,1,0.93,2,0.87,4
65,2,0.82,4,0.54,9
8007,5,0.85,0,0.65,5
2569,7,0.9,4,0.91,7
5464,6,0.86,7,0.76,8
2028,7,1.0,9,0.82,4
2696,4,0.89,8,1.5,6
9688,7,0.97,0,0.42,3
5259,2,0.98,1,1.29,9
5619,4,0.97,1,1.39,4
6737,2,0.81,5,1.62,0
392,6,0.99,0,1.71,2
5893,0,0.83,0,0.4,1
3562,4,0.81,1,0.36,5
6185,6,0.88,3,1.27,8
3100,6,0.84,1,1.54,9
6279,1,0.84,3,0.62,2
8393,1,0.86,2,1.1,10
3105,0,0.85,2,1.57,1
7216,0,0.94,8,1.56,1
2455,7,0.84,7,1.34,5
8997,6,0.91,9,0.25,9
2732,0,1.0,8,0.2,5
8155,2,0.89,0,0.84,4
9763,6,0.93,4,0.15,8
5057,3,0.99,3,1.82,6
8111,2,0.83,8,0.14,6
3841,4,0.88,2,0.16,10
1029,0,0.97,4,0.41,0
7386,1,0.99,7,1.29,9
503,2,0.92,9,1.13,9
6911,1,0.83,4,1.35,1
9063,2,0.98,8,1.8,2
6939,1,0.83,1,0.96,4
4489,5,0.87,5,0.18,10
207,2,0.88,4,1.55,3
5135,4,0.89,8,1.64,7
5978,1,0.96,6,0.19,10
7722,3,0.96,7,0.56,3
7036,4,0.94,6,1.56,5
1485,7,0.8,9,0.81,8
7859,2,0.91,9,1.0,1
864,3,0.95,4,1.66,7
2791,7,0.89,4,0.28,4
7409,2,0.99,3,1.39,9
8756,3,0.96,1,0.51,5
5117,3,0.93,8,0.22,2
6020,4,0.81,9,1.36,7
1758,5,0.93,9,0.33,1
7575,3,0.98,9,1.52,0
6375,5,0.88,9,0.49,10
6893,0,0.97,2,0.19,0
1679,4,0.86,2,0.29,7
3243,6,0.91,2,1.7,1
4637,1,0.93,7,0.8,4
1060,4,0.94,5,0.67,1
6669,7,0.98,0,1.03,10
9915,1,0.85,2,1.3,3
3158,1,0.85,3,0.17,8
5916,6,0.94,1,1.81,1
9790,5,0.84,5,1.92,3
2694,6,0.89,9,0.89,9
3628,6,0.8,0,0.88,4
9556,1,0.83,0,1.77,9
5451,3,0.94,7,0.92,9
1664,5,0.95,3,1.73,4
9722,1,0.82,0,0.15,4
5593,5,0.85,6,1.03,9
7393,0,0.82,8,1.91,9
1307,5,0.89,9,0.58,1
6777,2,0.83,6,0.61,7
5865,3,0.89,0,1.3,10
9475,7,0.95,0,1.86,4
7527,2,0.94,0,0.48,5
8902,2,0.86,7,1.85,7
5576,6,0.93,6,1.36,7
5531,6,0.99,2,1.99,9
4414,2,0.87,2,1.5,6
3749,1,0.87,2,1.37,7
664,5,0.91,1,1.65,9
1999,5,0.85,3,0.43,10
7995,4,0.93,6,1.9,6
1496,1,0.97,8,0.41,9
3305,3,0.89,2,0.15,5
3764,1,0.94,9,1.43,4
5233,1,0.93,6,0.45,4
1854,1,0.81,3,1.54,7
6586,3,0.84,0,1.61,0
1292,4,0.98,4,0.55,1
3582,3,0.99,7,0.26,0
7555,0,0.96,2,1.05,9
7281,4,0.98,9,1.79,6
1637,0,0.86,3,1.71,8
3697,0,0.85,2,0.32,6
699,0,0.88,9,1.93,8
4738,5,0.81,7,0.6,3
855,2,0.96,9,0.76,6
8165,2,1.0,7,0.38,9
5856,0,0.96,3,0.82,9
7393,0,0.91,1,1.31,6
6529,7,0.86,2,1.06,9
5250,6,0.84,2,1.67,9
5173,2,0.87,3,1.32,1
1708,6,0.93,1,0.6,1
5792,6,0.89,1,1.16,7
9926,7,0.99,2,0.22,1
5536,6,0.97,0,1.2,0
4932,4,0.82,7,0.84,0
3511,7,0.83,5,0.29,0
203,6,0.94,2,0.68,5
4219,6,0.85,0,1.81,4
8959,1,0.96,2,1.21,6
4390,6,0.92,0,1.82,2
2328,5,0.85,2,0.88,4
8005,4,0.9,3,1.96,1
2932,3,0.88,5,0.78,10
7778,2,0.97,6,1.54,8
198,0,0.81,6,0.68,8
7126,6,0.98,8,0.3,3
1931,4,0.93,7,1.68,1
6288,0,0.95,3,1.55,9
8801,3,0.8,5,1.66,7
9340,4,0.93,0,0.67,3
4283,2,0.92,7,1.44,4
2512,4,0.91,5,0.52,3
9987,0,0.96,1,0.12,1
660,0,0.91,7,1.75,5
2812,1,0.97,3,1.09,0
7099,6,0.85,8,1.97,7
6547,7,0.96,3,0.83,10
9562,4,0.84,0,1.92,0
1987,0,0.96,6,1.27,4
8339,5,0.99,9,1.07,8
2912,2,0.87,4,0.68,0
1735,5,0.91,9,1.67,9
1844,3,0.93,4,1.67,6
8681,4,0.82,3,0.89,6
2977,1,0.9,5,1.48,4
1960,2,0.87,0,0.95,3
5760,1,0.97,2,1.51,8
6695,7,0.98,6,1.99,4
2386,0,0.94,7,0.6,0
4737,6,0.93,8,1.3,8
1803,2,0.95,0,0.82,10
8156,3,0.87,3,1.14,4
8121,6,0.88,1,1.76,8
6617,4,0.91,1,0.76,10
5535,7,0.99,0,0.24,10
4062,7,0.94,4,1.62,7
263,1,0.91,1,1.15,9
6288,7,0.95,3,0.95,6
8816,2,0.87,8,0.45,10
9209,1,0.95,2,0.28,5
2050,6,0.88,7,0.63,8
5424,7,0.86,9,1.47,3
4549,4,0.92,5,0.88,4
3109,6,0.94,9,1.18,0
7159,3,0.89,4,0.26,6
7401,4,0.91,1,0.33,5
3171,5,0.94,2,0.12,10
9875,2,0.95,7,1.38,6
2256,3,0.98,8,0.6,0
1155,3,0.87,6,1.94,6
4500,1,0.99,0,0.69,6
6296,0,0.93,5,0.79,7
6198,1,0.96,6,0.99,1
9889,2,0.94,5,0.71,0
1649,2,0.84,9,1.65,0
5540,1,0.81,1,1.76,7
9638,0,0.95,8,0.12,6
4200,4,0.9,2,1.34,8
8446,1,0.94,5,1.4,1
2558,2,0.9,5,1.93,3
5593,0,0.86,7,0.8,7
99,2,0.86,3,0.47,5
2201,0,0.95,5,1.09,1
2962,0,0.86,0,0.95,9
4974,6,0.94,8,1.6,1
4434,1,0.88,8,1.82,6
2870,1,0.95,6,0.26,8
957,1,0.83,0,1.71,7
8353,0,0.84,2,1.83,1
5700,0,0.94,4,1.86,2
6945,2,0.91,3,1.55,7
4494,3,0.84,4,1.51,3
9493,1,0.98,6,0.13,5
4912,6,0.86,8,1.85,1
3988,5,0.88,0,0.77,0
9720,2,0.84,4,0.18,5
6016,2,0.88,2,0.88,7
1219,7,0.9,2,1.49,4
4497,1,0.86,1,0.94,0
4736,4,0.95,5,1.54,9
4556,2,0.88,5,1.07,1
9147,7,0.95,2,0.67,2
8051,5,0.84,0,0.49,1
3447,6,0.88,6,0.9,8
1046,5,0.8,1,0.17,9
6894,4,0.95,7,0.9,1
1694,1,0.93,2,0.23,2
3437,0,0.96,0,1.77,8
8755,7,0.89,9,1.19,10
5896,0,0.96,8,1.33,2
3355,5,0.93,4,0.65,7
226,5,0.8,0,0.53,7
4894,3,0.85,9,1.45,10
7023,3,0.9,5,1.38,2
9152,6,0.92,9,0.33,9
5601,4,0.81,2,0.55,9
7997,3,0.94,3,1.9,2
9008,3,0.91,7,0.68,7
7684,4,0.91,4,0.15,2
4643,2,0.86,5,0.22,3
7680,3,0.92,9,1.57,4
8209,2,0.81,3,1.54,6
7340,2,0.81,5,0.83,0
9436,1,0.95,2,0.39,7
2206,2,0.86,9,1.05,2
1070,2,0.87,0,0.73,6
3445,3,0.84,5,0.81,10
1061,2,0.89,0,0.6,9
2328,0,0.81,9,0.22,10
3421,4,0.86,2,1.6,2
302,3,0.91,7,1.27,8
607,4,0.89,6,1.69,9
3171,7,1.0,7,1.06,4
700,3,0.88,9,1.97,2
5089,2,0.88,9,1.93,2
9332,0,0.9,1,0.62,3
191,4,0.84,9,0.84,4
981,3,0.98,6,1.53,4
2976,0,0.91,3,1.58,7
6103,4,0.84,0,1.83,9
1185,7,0.96,2,1.34,5
3328,5,0.81,4,1.0,4
3395,6,1.0,9,0.82,1
8320,6,0.97,7,0.9,4
1817,7,0.92,1,1.72,6
5855,5,0.82,1,1.96,10
6710,1,0.84,7,0.2,2
570,5,0.86,8,1.2,6
5443,1,0.85,9,1.09,0
1896,3,0.9,0,0.81,5
2734,1,0.99,1,1.72,0
3864,6,0.89,3,1.19,6
7456,6,0.93,2,0.69,5
4015,0,0.94,0,0.94,9
1687,1,0.97,3,0.78,10
3010,0,0.81,1,0.92,0
7807,6,0.88,9,0.24,8
155,4,0.96,4,0.31,4
1410,4,0.96,0,1.29,10
785,5,0.99,7,1.4,6
8097,5,0.94,9,1.31,0
7561,5,0.85,1,1.55,10
7344,1,0.9,2,1.89,10
7207,5,0.81,2,1.74,7
5597,1,0.93,3,0.9,7
5802,1,0.91,6,0.51,8
2807,2,0.93,8,0.69,1
538,2,0.99,2,1.22,5
5987,1,0.94,0,1.73,9
1842,4,0.86,9,1.43,4
8717,0,0.84,0,1.13,5
6972,6,0.97,5,1.24,4
5626,6,0.84,4,1.1,10
2951,3,0.83,9,1.95,0
7993,7,0.84,6,1.65,1
4781,2,0.9,6,1.58,2
2369,1,0.82,2,1.08,6
6656,7,0.99,6,0.73,9
8174,2,0.99,8,0.14,8
4496,3,0.99,7,0.18,1
9164,6,0.81,2,0.16,9
6003,0,0.99,9,1.96,0
6615,1,1.0,4,0.32,0
9359,3,0.99,7,0.37,3
5920,6,0.93,1,1.02,8
854,4,0.94,6,1.01,3
4147,2,0.82,9,1.85,2
3770,1,0.97,9,0.24,9
575,7,0.81,6,1.92,7
1149,4,0.86,7,0.51,8
6294,6,1.0,0,1.94,4
6458,4,0.88,7,1.13,1
7510,5,0.83,0,1.34,3
9908,0,0.99,2,0.7,9
4778,6,1.0,8,1.26,7
3855,4,0.84,3,1.45,1
2492,2,0.97,9,0.12,8
3125,0,0.88,8,0.17,10
5692,1,0.88,0,1.97,4
3052,5,0.85,7,0.97,6
5,6,0.81,2,1.88,4
5223,3,0.85,6,1.49,2
5316,0,0.81,1,0.81,1
4870,7,0.98,6,0.39,2
877,2,0.93,6,1.96,1
9184,6,0.98,8,1.21,1
7028,7,0.94,1,0.47,1
4143,0,0.83,7,1.4,10
6967,6,0.99,4,0.27,1
7080,5,0.98,9,1.75,7
7988,3,0.87,8,0.27,4
6800,3,0.82,7,0.55,8
4466,7,0.94,2,0.27,10
636,1,0.95,2,0.3,4
1694,1,0.98,9,1.1,0
9875,5,0.81,7,1.41,7
4753,3,0.83,8,1.6,2
8312,7,0.92,1,1.42,9
831,7,0.92,2,0.79,10
5178,6,0.81,7,1.16,9
9562,6,0.88,1,1.86,1
8933,7,0.92,7,0.84,5
8309,6,0.95,4,0.58,3
5950,0,0.86,5,1.09,3
2839,6,0.9,9,0.66,8
1151,5,0.96,3,0.6,9
7561,1,0.99,2,1.58,7
1932,1,0.85,7,1.79,2
9205,0,0.85,8,1.05,8
1665,2,0.99,7,1.58,0
1082,0,0.88,8,0.46,6
513,5,0.94,0,1.14,6
7806,7,0.92,4,1.31,1
5238,0,0.86,6,1.03,6
560,7,0.93,7,0.32,6
3673,5,0.93,1,1.49,8
7405,4,0.92,3,1.69,5
3344,5,0.82,6,1.31,9
4071,3,1.0,4,0.42,10
9663,7,0.88,0,0.24,9
581,1,0.93,1,0.67,8
7005,0,0.98,4,0.17,2
8131,4,0.88,5,1.69,7
3148,5,0.95,0,1.44,3
4250,7,0.99,2,1.17,10
1680,4,0.87,5,1.79,0
3507,2,0.88,5,0.31,6
7254,3,0.98,6,1.46,2
2745,2,0.83,9,0.38,3
9436,5,0.81,2,0.22,2
5189,2,0.98,0,0.35,5
2142,2,0.96,6,1.91,9
6618,3,0.99,2,0.94,0
2480,3,0.81,4,0.19,9
6485,6,0.83,3,1.21,6
9828,3,0.82,0,0.48,9
7422,4,0.94,6,0.11,7
9950,6,0.92,3,1.54,2
4453,3,0.87,0,0.39,8
5882,2,0.81,5,1.89,1
6666,1,0.93,3,1.23,9
2850,1,0.91,3,0.27,10
7391,6,0.82,1,0.51,9
6906,3,0.98,0,1.26,8
2490,4,0.84,2,0.74,4
9824,0,0.95,9,1.11,5
9208,7,0.98,4,1.62,1
9541,5,0.92,8,1.61,4
4612,4,0.85,6,1.43,5
2840,0,0.86,3,1.78,4
8528,5,0.98,7,0.48,3
5879,0,0.86,3,0.44,7
9088,0,0.95,5,1.62,1
6304,6,1.0,0,0.71,0
852,1,1.0,5,1.07,1
1688,7,0.91,9,1.51,10
6834,0,0.97,4,0.85,3
2428,3,1.0,1,0.35,0
9761,5,0.87,0,1.39,8
4001,4,0.85,5,1.65,0
5053,1,0.82,1,0.12,4
2739,5,0.83,8,1.17,7
5733,6,0.97,8,0.99,8
5388,3,0.92,0,0.59,8
8003,3,0.97,4,0.41,7
5537,0,0.96,7,0.46,5
3914,3,0.93,3,1.48,5
1067,7,0.92,2,1.12,8
7724,6,0.81,4,1.96,1
4381,3,0.97,4,0.56,2
4108,0,0.88,7,1.92,5
5727,5,0.91,5,1.08,7
3374,6,0.8,1,0.38,6
8946,3,0.99,0,0.38,7
2083,1,0.98,2,1.26,4
8968,6,0.91,1,1.68,8
6749,6,0.92,3,1.52,5
9818,4,0.94,2,1.35,9
418,1,0.85,8,0.43,1
8307,1,0.84,4,0.31,5
8809,5,0.93,3,0.1,10
3975,2,0.82,9,0.29,3
3268,4,0.89,8,1.56,4
826,1,0.9,3,1.8,4
7669,1,0.88,5,0.56,0
5746,2,0.84,9,1.61,9
9709,5,0.87,0,0.48,4
413,4,0.87,1,0.57,9
7544,1,0.9,3,0.53,10
7588,0,0.93,8,0.2,8
729,5,0.99,5,0.47,7
7165,4,0.83,5,0.81,7
8868,1,0.97,8,0.87,2
5989,1,0.86,3,0.69,8
2505,2,0.92,2,1.08,8
2968,4,0.91,6,0.82,9
2787,0,0.91,6,1.94,6
1123,5,0.94,8,1.63,5
4080,3,0.88,5,1.87,8
1572,7,0.86,1,1.16,10
5074,0,0.97,5,1.39,5
5105,3,0.84,7,0.42,2
2144,0,0.84,5,1.53,5
9880,4,0.8,8,0.55,10
6807,3,0.84,3,0.38,1
7358,4,0.9,2,0.18,1
3441,3,0.91,4,1.0,6
3767,0,0.85,2,0.64,7
5645,2,0.81,1,1.97,6
2915,0,0.95,1,0.57,4
4969,4,0.95,3,1.75,3
5918,0,1.0,2,0.7,7
8788,6,0.98,8,1.52,8
729,6,0.99,6,1.35,6
1366,3,0.96,5,1.17,0
4493,6,0.92,9,0.89,3
699,7,0.83,7,1.38,3
7187,3,0.92,8,0.87,9
396,6,0.81,2,1.14,2
7401,1,0.98,9,1.22,3
8083,0,0.9,6,0.61,8
4172,5,0.94,8,0.75,0
4361,0,0.81,0,0.13,1
2503,6,0.91,9,1.72,6
718,2,0.86,8,1.54,8
2783,4,0.86,6,0.45,6
4947,5,0.88,9,0.79,0
5487,3,0.8,3,0.9,6
8336,2,0.89,5,0.74,5
4981,0,0.9,5,1.62,0
7267,6,0.97,5,1.48,0
4492,3,0.89,1,1.56,1
7193,3,0.87,4,1.82,5
5589,1,1.0,6,1.23,3
7652,1,0.91,5,1.27,3
3637,6,0.89,2,1.47,5
1168,6,0.9,4,1.39,8
1063,7,0.96,7,1.75,0
2157,1,0.87,4,1.56,1
7861,4,0.88,9,0.33,7
5162,5,0.95,2,1.86,7
5306,3,0.81,8,1.4,10
6542,1,0.97,2,0.34,10
4730,6,0.89,1,1.57,5
9349,7,0.92,5,0.78,5
7331,6,0.95,7,1.63,7
5335,6,0.85,5,1.92,1
8925,6,0.98,0,0.58,1
4331,0,1.0,7,1.73,0
8011,5,0.9,0,1.57,5
6802,1,0.99,8,1.38,5
4847,3,0.8,7,0.83,5
6732,0,0.98,5,0.31,10
7242,6,0.86,1,1.02,1
954,4,0.86,8,0.3,6
2540,3,0.85,7,1.05,2
7057,0,0.86,3,1.66,0
1543,4,0.84,1,2.0,0
5294,4,0.98,5,0.48,8
1192,5,0.98,0,0.49,2
6314,3,0.82,6,1.64,7
6939,1,0.83,0,0.99,9
2682,1,0.97,5,1.84,6
9410,7,0.88,4,1.56,1
1541,0,0.83,9,1.5,1
6173,7,0.9,2,0.29,3
5542,2,0.88,5,0.17,1
9581,1,0.84,3,0.7,4
1366,0,0.94,5,0.51,9
8692,5,0.93,3,1.45,6
9873,7,0.82,0,0.96,1
8703,5,0.99,4,1.09,8
7495,5,0.91,7,1.65,0
4313,6,0.85,5,1.01,1
1325,6,0.84,9,1.14,6
9348,5,0.83,8,1.7,4
3142,7,0.88,3,0.92,0
7420,6,0.83,9,0.26,3
3487,2,0.88,8,1.09,7
1811,4,0.83,7,1.2,4
6589,4,0.93,2,1.07,1
2924,6,0.96,5,0.59,8
5302,7,0.91,3,0.53,0
4187,4,0.94,0,0.8,0
8906,3,0.99,8,0.42,9
5978,4,0.93,3,1.37,4
4269,1,0.87,4,1.27,8
4749,7,0.89,2,1.3,5
4850,6,0.97,3,0.53,4
9436,6,0.83,8,0.57,5
3710,4,0.87,6,1.6,5
9274,7,0.92,7,1.41,8
6620,2,0.94,2,1.76,8
8648,3,0.95,2,0.87,4
9087,6,0.86,6,1.14,3
9577,7,0.83,7,1.5,0
3073,6,0.99,4,1.95,5
6531,6,0.82,0,1.98,6
505,1,0.82,2,2.0,6
1215,4,0.9,4,1.79,0
1532,1,0.96,2,1.32,5
7577,4,0.95,0,0.11,7
824,6,0.99,6,1.43,2
929,7,0.83,0,0.55,0
5030,5,0.88,9,0.21,6
134,4,0.86,5,1.42,3
2106,5,0.97,5,1.54,4
3628,3,0.9,6,1.35,1
6317,1,0.81,0,0.79,6
1853,5,0.94,2,1.07,0
4911,1,0.88,8,1.88,3
4176,4,0.91,1,1.49,7
5349,4,0.98,4,1.06,6
9443,3,0.85,2,1.23,6
6191,4,0.85,4,1.86,6
1257,6,0.85,6,0.85,4
3377,3,0.87,0,0.29,10
5646,5,0.82,2,0.72,9
3487,4,0.94,5,0.89,2
3585,7,0.84,6,0.62,9
9589,0,0.99,9,1.11,6
8054,2,0.84,2,0.68,7
3331,6,0.85,3,0.3,6
2704,0,0.86,5,0.46,5
8663,0,0.95,4,1.84,8
8121,1,0.89,8,1.3,10
7115,6,0.96,0,0.7,5
1354,6,0.96,4,0.8,4
5064,3,0.99,0,1.04,10
8550,1,0.95,7,1.38,5
7576,5,0.81,6,1.21,9
